surah	ayah	word	segment	form_bw	form_ar	tag	segment_type	pos	lemma	lemma_ar	root	root_ar	aspect	verb_form	voice	derivation	person	gender	number	case	mood	state	prefix	suffix_pron	special
2	3	5	1	{l	ٱل	DET	PREFIX																Al+		
2	3	5	2	S~alaw`pa	صَّلَوٰةَ	N	STEM	N	Salaw`p	صَلَوٰة	Slw	صلو						F		ACC					
2	3	6	1	wa	وَ	REM	PREFIX																w:REM+		
2	3	6	2	mi	مِ	P	STEM	P	min	مِن															
2	3	6	3	m~aA	مَّا	REL	STEM	REL	maA	مَا															
2	3	7	1	razaqo	رَزَقْ	V	STEM	V	razaqa	رَزَقَ	rzq	رزق	PERF				1		P						
2	3	7	2	na`	نَٰ	PRON	SUFFIX																	1P	
2	3	7	3	humo	هُمْ	PRON	SUFFIX																	3MP	
2	3	8	1	yunfiqu	يُنفِقُ	V	STEM	V	>anfaqa	أَنفَقَ	nfq	نفق	IMPF	IV			3	M	P						
2	3	8	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	4	1	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	4	1	2	{l~a*iyna	ٱلَّذِينَ	REL	STEM	REL	{l~a*iY	ٱلَّذِى								M	P						
2	4	2	1	yu&ominu	يُؤْمِنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	IMPF	IV			3	M	P						
2	4	2	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	4	3	1	bi	بِ	P	PREFIX																bi+		
2	4	3	2	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	4	4	1	>unzila	أُنزِلَ	V	STEM	V	>anzala	أَنزَلَ	nzl	نزل	PERF	IV	PASS		3	M	S						
2	4	5	1	<ilayo	إِلَيْ	P	STEM	P	<ilaY`	إِلَىٰ															
2	4	5	2	ka	كَ	PRON	SUFFIX																	2MS	
2	4	6	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	4	6	2	maA^	مَآ	REL	STEM	REL	maA	مَا															
2	4	7	1	>unzila	أُنزِلَ	V	STEM	V	>anzala	أَنزَلَ	nzl	نزل	PERF	IV	PASS		3	M	S						
2	4	8	1	min	مِن	P	STEM	P	min	مِن															
2	4	9	1	qaboli	قَبْلِ	N	STEM	N	qabol	قَبْل	qbl	قبل								GEN					
2	4	9	2	ka	كَ	PRON	SUFFIX																	2MS	
2	4	10	1	wa	وَ	REM	PREFIX																w:REM+		
2	4	10	2	bi	بِ	P	PREFIX																bi+		
2	4	10	3	{lo	ٱلْ	DET	PREFIX																Al+		
2	4	10	4	'aAxirapi	ءَاخِرَةِ	N	STEM	N	A^xir	آخِر	Axr	اخر						F	S	GEN					
2	4	11	1	humo	هُمْ	PRON	STEM	PRON									3	M	P						
2	4	12	1	yuwqinu	يُوقِنُ	V	STEM	V	yuwqinu	يُوقِنُ	yqn	يقن	IMPF	IV			3	M	P						
2	4	12	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	5	1	1	>uw@la`^}ika	أُو@لَٰٓئِكَ	DEM	STEM	DEM	>uwla`^}ik	أُولَٰٓئِك															
2	5	2	1	EalaY`	عَلَىٰ	P	STEM	P	EalaY`	عَلَىٰ															
2	5	3	1	hudFY	هُدًى	N	STEM	N	hudFY	هُدًى	hdy	هدي						M		GEN		INDEF			
2	5	4	1	m~in	مِّن	P	STEM	P	min	مِن															
2	5	5	1	r~ab~i	رَّبِّ	N	STEM	N	rab~	رَبّ	rbb	ربب						M		GEN					
2	5	5	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	5	6	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	5	6	2	>uw@la`^}ika	أُو@لَٰٓئِكَ	DEM	STEM	DEM	>uwla`^}ik	أُولَٰٓئِك															
2	5	7	1	humu	هُمُ	PRON	STEM	PRON									3	M	P						
2	5	8	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	5	8	2	mufoliHuwna	مُفْلِحُونَ	N	STEM	N	mufoliHuwn	مُفْلِحُون	flH	فلح		IV	ACT	PCPL		M	P	NOM					
2	6	1	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	6	2	1	{l~a*iyna	ٱلَّذِينَ	REL	STEM	REL	{l~a*iY	ٱلَّذِى								M	P						
2	6	3	1	kafaru	كَفَرُ	V	STEM	V	kafara	كَفَرَ	kfr	كفر	PERF				3	M	P						
2	6	3	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	6	4	1	sawaA^'N	سَوَآءٌ	N	STEM	N	sawaA^'	سَوَآء	swy	سوي						M		NOM		INDEF			
2	6	5	1	Ealayo	عَلَيْ	P	STEM	P	EalaY`	عَلَىٰ															
2	6	5	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	6	6	1	'a	ءَ	EQ	PREFIX																A:EQ+		
2	6	6	2	>an*aro	أَنذَرْ	V	STEM	V	>an*ara	أَنذَرَ	n*r	نذر	PERF	IV			2	M	S						
2	6	6	3	ta	تَ	PRON	SUFFIX																	2MS	
2	6	6	4	humo	هُمْ	PRON	SUFFIX																	3MP	
2	6	7	1	>amo	أَمْ	CONJ	STEM	CONJ	>am	أَم															
2	6	8	1	lamo	لَمْ	NEG	STEM	NEG	lam	لَم															
2	6	9	1	tun*iro	تُنذِرْ	V	STEM	V	>an*ara	أَنذَرَ	n*r	نذر	IMPF	IV			2	M	S		JUS				
2	6	9	2	humo	هُمْ	PRON	SUFFIX																	3MP	
2	6	10	1	laA	لَا	NEG	STEM	NEG	laA	لَا															
2	6	11	1	yu&ominu	يُؤْمِنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	IMPF	IV			3	M	P						
2	6	11	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	7	1	1	xatama	خَتَمَ	V	STEM	V	xatama	خَتَمَ	xtm	ختم	PERF				3	M	S						
2	7	2	1	{ll~ahu	ٱللَّهُ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								NOM					
2	7	3	1	EalaY`	عَلَىٰ	P	STEM	P	EalaY`	عَلَىٰ															
2	7	4	1	quluwbi	قُلُوبِ	N	STEM	N	qalob	قَلْب	qlb	قلب						F	P	GEN					
2	7	4	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	7	5	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	7	5	2	EalaY`	عَلَىٰ	P	STEM	P	EalaY`	عَلَىٰ															
2	7	6	1	samoEi	سَمْعِ	N	STEM	N	samoE	سَمْع	smE	سمع						M		GEN					
2	7	6	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	7	7	1	wa	وَ	REM	PREFIX																w:REM+		
2	7	7	2	EalaY`^	عَلَىٰٓ	P	STEM	P	EalaY`	عَلَىٰ															
2	7	8	1	>aboSa`ri	أَبْصَٰرِ	N	STEM	N	baSar	بَصَر	bSr	بصر						M	P	GEN					
2	7	8	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	7	9	1	gi$a`wapN	غِشَٰوَةٌ	N	STEM	N	gi$a`wap	غِشَٰوَة	g$w	غشو						F		NOM		INDEF			
2	7	10	1	wa	وَ	REM	PREFIX																w:REM+		
2	7	10	2	la	لَ	P	PREFIX																l:P+		
2	7	10	3	humo	هُمْ	PRON	STEM	PRON									3	M	P						
2	7	11	1	Ea*aAbN	عَذَابٌ	N	STEM	N	Ea*aAb	عَذَاب	E*b	عذب						M		NOM		INDEF			
2	7	12	1	EaZiymN	عَظِيمٌ	ADJ	STEM	ADJ	EaZiym	عَظِيم	EZm	عظم						M	S	NOM		INDEF			
2	8	1	1	wa	وَ	REM	PREFIX																w:REM+		
2	8	1	2	mina	مِنَ	P	STEM	P	min	مِن															
2	8	2	1	{l	ٱل	DET	PREFIX																Al+		
2	8	2	2	n~aAsi	نَّاسِ	N	STEM	N	n~aAs	نَّاس	nws	نوس						M	P	GEN					
2	8	3	1	man	مَن	REL	STEM	REL	man	مَن															
2	8	4	1	yaquwlu	يَقُولُ	V	STEM	V	qaAla	قَالَ	qwl	قول	IMPF				3	M	S						
2	8	5	1	'aAma	ءَامَ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			1		P						
2	8	5	2	n~aA	نَّا	PRON	SUFFIX																	1P	
2	8	6	1	bi	بِ	P	PREFIX																bi+		
2	8	6	2	{ll~ahi	ٱللَّهِ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								GEN					
2	8	7	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	8	7	2	bi	بِ	P	PREFIX																bi+		
2	8	7	3	{lo	ٱلْ	DET	PREFIX																Al+		
2	8	7	4	yawomi	يَوْمِ	N	STEM	N	yawom	يَوْم	ywm	يوم						M		GEN					
2	8	8	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	8	8	2	'aAxiri	ءَاخِرِ	ADJ	STEM	ADJ	A^xir	آخِر	Axr	اخر						M	S	GEN					
2	8	9	1	wa	وَ	CIRC	PREFIX																w:CIRC+		
2	8	9	2	maA	مَا	NEG	STEM	NEG	maA	مَا															kaAn
2	8	10	1	hum	هُم	PRON	STEM	PRON									3	M	P						
2	8	11	1	bi	بِ	P	PREFIX																bi+		
2	8	11	2	mu&ominiyna	مُؤْمِنِينَ	N	STEM	N	mu&omin	مُؤْمِن	Amn	امن		IV	ACT	PCPL		M	P	GEN					
2	9	1	1	yuxa`diEu	يُخَٰدِعُ	V	STEM	V	yuxa`diEu	يُخَٰدِعُ	xdE	خدع	IMPF	III			3	M	P						
2	9	1	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	9	2	1	{ll~aha	ٱللَّهَ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								ACC					
2	9	3	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	9	3	2	{l~a*iyna	ٱلَّذِينَ	REL	STEM	REL	{l~a*iY	ٱلَّذِى								M	P						
2	9	4	1	'aAmanu	ءَامَنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			3	M	P						
2	9	4	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	9	5	1	wa	وَ	REM	PREFIX																w:REM+		
2	9	5	2	maA	مَا	NEG	STEM	NEG	maA	مَا															
2	9	6	1	yaxodaEu	يَخْدَعُ	V	STEM	V	yaxodaEu	يَخْدَعُ	xdE	خدع	IMPF				3	M	P						
2	9	6	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	9	7	1	<il~aA^	إِلَّآ	RES	STEM	RES	<il~aA	إِلَّا															
2	9	8	1	>anfusa	أَنفُسَ	N	STEM	N	nafos	نَفْس	nfs	نفس						F	P	ACC					
2	9	8	2	humo	هُمْ	PRON	SUFFIX																	3MP	
2	9	9	1	wa	وَ	CIRC	PREFIX																w:CIRC+		
2	9	9	2	maA	مَا	NEG	STEM	NEG	maA	مَا															
2	9	10	1	ya$oEuru	يَشْعُرُ	V	STEM	V	ya$oEuru	يَشْعُرُ	$Er	شعر	IMPF				3	M	P						
2	9	10	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	10	1	1	fiY	فِى	P	STEM	P	fiY	فِى															
2	10	2	1	quluwbi	قُلُوبِ	N	STEM	N	qalob	قَلْب	qlb	قلب						F	P	GEN					
2	10	2	2	him	هِم	PRON	SUFFIX																	3MP	
2	10	3	1	m~araDN	مَّرَضٌ	N	STEM	N	m~araD	مَّرَض	mrD	مرض						M		NOM		INDEF			
2	10	4	1	fa	فَ	REM	PREFIX																f:REM+		
2	10	4	2	zaAda	زَادَ	V	STEM	V	zaAda	زَادَ	zyd	زيد	PERF				3	M	S						
2	10	4	3	humu	هُمُ	PRON	SUFFIX																	3MP	
2	10	5	1	{ll~ahu	ٱللَّهُ	PN	STEM	PN	{ll~ah	ٱللَّه	Alh	اله								NOM					
2	10	6	1	maraDFA	مَرَضًا	N	STEM	N	m~araD	مَّرَض	mrD	مرض						M		ACC		INDEF			
2	10	7	1	wa	وَ	REM	PREFIX																w:REM+		
2	10	7	2	la	لَ	P	PREFIX																l:P+		
2	10	7	3	humo	هُمْ	PRON	STEM	PRON									3	M	P						
2	10	8	1	Ea*aAbN	عَذَابٌ	N	STEM	N	Ea*aAb	عَذَاب	E*b	عذب						M		NOM		INDEF			
2	10	9	1	>aliymN[	أَلِيمٌ[	ADJ	STEM	ADJ	>aliym	أَلِيم	Alm	الم						M	S	NOM		INDEF			
2	10	10	1	bi	بِ	P	PREFIX																bi+		
2	10	10	2	maA	مَا	REL	STEM	REL	maA	مَا															
2	10	11	1	kaAnu	كَانُ	V	STEM	V	kaAna	كَانَ	kwn	كون	PERF				3	M	P						kaAn
2	10	11	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	10	12	1	yako*ibu	يَكْذِبُ	V	STEM	V	ka*aba	كَذَبَ	k*b	كذب	IMPF				3	M	P						
2	10	12	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	11	1	1	wa	وَ	REM	PREFIX																w:REM+		
2	11	1	2	<i*aA	إِذَا	T	STEM	T	<i*aA	إِذَا															
2	11	2	1	qiyla	قِيلَ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF		PASS		3	M	S						
2	11	3	1	la	لَ	P	PREFIX																l:P+		
2	11	3	2	humo	هُمْ	PRON	STEM	PRON									3	M	P						
2	11	4	1	laA	لَا	PRO	STEM	PRO	laA	لَا															
2	11	5	1	tufosidu	تُفْسِدُ	V	STEM	V	>afosadu	أَفْسَدُ	fsd	فسد	IMPF	IV			2	M	P		JUS				
2	11	5	2	wA@	وا@	PRON	SUFFIX																	2MP	
2	11	6	1	fiY	فِى	P	STEM	P	fiY	فِى															
2	11	7	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	11	7	2	>aroDi	أَرْضِ	N	STEM	N	>aroD	أَرْض	ArD	ارض						F		GEN					
2	11	8	1	qaAlu	قَالُ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	P						
2	11	8	2	w^A@	وٓا@	PRON	SUFFIX																	3MP	
2	11	9	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	11	9	2	maA	مَا	PREV	STEM	PREV	maA	مَا															
2	11	10	1	naHonu	نَحْنُ	PRON	STEM	PRON									1		P						
2	11	11	1	muSoliHuwna	مُصْلِحُونَ	N	STEM	N	muSoliH	مُصْلِح	SlH	صلح		IV	ACT	PCPL		M	P	NOM					
2	12	1	1	>alaA^	أَلَآ	INC	STEM	INC	>alaA^	أَلَآ															
2	12	2	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	12	2	2	humo	هُمْ	PRON	SUFFIX																	3MP	
2	12	3	1	humu	هُمُ	PRON	STEM	PRON									3	M	P						
2	12	4	1	{lo	ٱلْ	DET	PREFIX																Al+		
2	12	4	2	mufosiduwna	مُفْسِدُونَ	N	STEM	N	mufosid	مُفْسِد	fsd	فسد		IV	ACT	PCPL		M	P	NOM					
2	12	5	1	wa	وَ	SUP	PREFIX																w:SUP+		
2	12	5	2	la`kin	لَٰكِن	AMD	STEM	AMD	la`kin	لَٰكِن															
2	12	6	1	l~aA	لَّا	NEG	STEM	NEG	laA	لَا															
2	12	7	1	ya$oEuru	يَشْعُرُ	V	STEM	V	ya$oEuru	يَشْعُرُ	$Er	شعر	IMPF				3	M	P						
2	12	7	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	13	1	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	13	1	2	<i*aA	إِذَا	T	STEM	T	<i*aA	إِذَا															
2	13	2	1	qiyla	قِيلَ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF		PASS		3	M	S						
2	13	3	1	la	لَ	P	PREFIX																l:P+		
2	13	3	2	humo	هُمْ	PRON	STEM	PRON									3	M	P						
2	13	4	1	'aAminu	ءَامِنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	IMPV	IV			2	M	P						
2	13	4	2	wA@	وا@	PRON	SUFFIX																	2MP	
2	13	5	1	ka	كَ	P	PREFIX																ka+		
2	13	5	2	maA^	مَآ	SUB	STEM	SUB	maA	مَا															
2	13	6	1	'aAmana	ءَامَنَ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			3	M	S						
2	13	7	1	{l	ٱل	DET	PREFIX																Al+		
2	13	7	2	n~aAsu	نَّاسُ	N	STEM	N	n~aAs	نَّاس	nws	نوس						M	P	NOM					
2	13	8	1	qaAlu	قَالُ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	P						
2	13	8	2	w^A@	وٓا@	PRON	SUFFIX																	3MP	
2	13	9	1	>a	أَ	INTG	PREFIX																A:INTG+		
2	13	9	2	nu&ominu	نُؤْمِنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	IMPF	IV			1		P						
2	13	10	1	ka	كَ	P	PREFIX																ka+		
2	13	10	2	maA^	مَآ	SUB	STEM	SUB	maA	مَا															
2	13	11	1	'aAmana	ءَامَنَ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			3	M	S						
2	13	12	1	{l	ٱل	DET	PREFIX																Al+		
2	13	12	2	s~ufahaA^'u	سُّفَهَآءُ	N	STEM	N	safiyh	سَفِيه	sfh	سفه						M	P	NOM					
2	13	13	1	>alaA^	أَلَآ	INC	STEM	INC	>alaA^	أَلَآ															
2	13	14	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	13	14	2	humo	هُمْ	PRON	SUFFIX																	3MP	
2	13	15	1	humu	هُمُ	PRON	STEM	PRON									3	M	P						
2	13	16	1	{l	ٱل	DET	PREFIX																Al+		
2	13	16	2	s~ufahaA^'u	سُّفَهَآءُ	N	STEM	N	safiyh	سَفِيه	sfh	سفه						M	P	NOM					
2	13	17	1	wa	وَ	SUP	PREFIX																w:SUP+		
2	13	17	2	la`kin	لَٰكِن	AMD	STEM	AMD	la`kin	لَٰكِن															
2	13	18	1	l~aA	لَّا	NEG	STEM	NEG	laA	لَا															
2	13	19	1	yaEolamu	يَعْلَمُ	V	STEM	V	Ealima	عَلِمَ	Elm	علم	IMPF				3	M	P						
2	13	19	2	wna	ونَ	PRON	SUFFIX																	3MP	
2	14	1	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	14	1	2	<i*aA	إِذَا	T	STEM	T	<i*aA	إِذَا															
2	14	2	1	laqu	لَقُ	V	STEM	V	laqu	لَقُ	lqy	لقي	PERF				3	M	P						
2	14	2	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	14	3	1	{l~a*iyna	ٱلَّذِينَ	REL	STEM	REL	{l~a*iY	ٱلَّذِى								M	P						
2	14	4	1	'aAmanu	ءَامَنُ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			3	M	P						
2	14	4	2	wA@	وا@	PRON	SUFFIX																	3MP	
2	14	5	1	qaAlu	قَالُ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	P						
2	14	5	2	w^A@	وٓا@	PRON	SUFFIX																	3MP	
2	14	6	1	'aAma	ءَامَ	V	STEM	V	'aAmana	ءَامَنَ	Amn	امن	PERF	IV			1		P						
2	14	6	2	n~aA	نَّا	PRON	SUFFIX																	1P	
2	14	7	1	wa	وَ	CONJ	PREFIX																w:CONJ+		
2	14	7	2	<i*aA	إِذَا	T	STEM	T	<i*aA	إِذَا															
2	14	8	1	xala	خَلَ	V	STEM	V	xalaA	خَلَا	xlw	خلو	PERF				3	M	P						
2	14	8	2	woA@	وْا@	PRON	SUFFIX																	3MP	
2	14	9	1	<ilaY`	إِلَىٰ	P	STEM	P	<ilaY`	إِلَىٰ															
2	14	10	1	$aya`Tiyni	شَيَٰطِينِ	N	STEM	N	$ayoTa`n	شَيْطَٰن	$Tn	شطن						M	P	GEN					
2	14	10	2	himo	هِمْ	PRON	SUFFIX																	3MP	
2	14	11	1	qaAlu	قَالُ	V	STEM	V	qaAla	قَالَ	qwl	قول	PERF				3	M	P						
2	14	11	2	w^A@	وٓا@	PRON	SUFFIX																	3MP	
2	14	12	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	14	12	2	A	ا	PRON	SUFFIX																	1P	
2	14	13	1	maEa	مَعَ	LOC	STEM	LOC	maE	مَع										ACC					
2	14	13	2	kumo	كُمْ	PRON	SUFFIX																	2MP	
2	14	14	1	<in~a	إِنَّ	ACC	STEM	ACC	<in~	إِنّ															<in~
2	14	14	2	maA	مَا	PREV	STEM	PREV	maA	مَا															
2	14	15	1	naHonu	نَحْنُ	PRON	STEM	PRON									1		P						
2	14	16	1	musotahozi'uwna	مُسْتَهْزِءُونَ	N	STEM	N	musotahozi'uwn	مُسْتَهْزِءُون	hzA	هزا		X	ACT	PCPL		M	P	NOM					
