form_a	form_b	oordeel	reden	plaatsen	eerste
ٱلنَّبِيَّ	اُ۬لنَّبِےٓءَ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	2	33:13
ٱلنَّبِيَّ	اِ۬لنَّبِےٓءَ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	33:53
ٱلنَّبِيِّۚ	اَ۬لنَّبِےٓءِۖ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	33:56
وَجِاْيٓءَ	وَجِےٓءَ	geen-farsh	zwijgende draag-alif in de Hafs-spelling	2	39:69
ءَا۬عۡجَمِيّٞ	ءَآعْجَمِيّٞ	geen-farsh	twee hamza's: tashiel tegenover madd	1	41:44
وَبِٱلۡأَسۡحَارِ	وَبِالَاسْح۪ارِ	geen-farsh	naql van de hamza op de laam, plus imaala-teken	1	51:18
ٱلنُّبُوَّةَ	اَ۬لنُّبُوٓءَةَ	geen-farsh	hamz an-nabie-: usoel van Naafi3, op alle 82 plaatsen van het lexeem	1	57:26
لِئَلَّا	لِيَ۬لَّا	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	2	2:150
يُؤَاخِذُكُمُ	يُوَ۬اخِذُكُمُ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	2	2:225
أَوۡ	اَ۬وَ	geen-farsh	naql: de fatha van de volgende hamza op de waw	1	2:235
فَلۡيُؤَدِّ	فَلْيُوَ۬دِّ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	2:283
تُؤَاخِذۡنَآ	تُوَ۬اخِذْنَآ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	2:286
يُؤَيِّدُ	يُوَ۬يِّدُ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	3:13
يُؤَدِّهِۦٓ	يُوَ۬دِّهِۦٓ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	2	3:75
مُّؤَجَّلٗاۗ	مُّوَ۬جَّلاٗۖ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	3:145
تُؤَدُّواْ	تُوَ۬دُّواْ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	4:58
مُؤَذِّنُۢ	مُوَ۬ذِّنُۢ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	7:44
وَٱلۡمُؤَلَّفَةِ	وَالْمُوَ۬لَّفَةِ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	9:60
نُؤَخِّرُهُۥٓ	نُوَ۬خِّرُهُۥٓ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	11:104
مُؤَذِّنٌ	مُوَ۬ذِّنٌ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	12:70
وَيُؤَخِّرَكُمۡ	وَيُوَ۬خِّرَكُمُۥٓ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor, plus silat al-miem	1	14:10
يُؤَخِّرُهُمۡ	يُوَ۬خِّرُهُمْ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	14:42
يُؤَاخِذُ	يُوَ۬اخِذُ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	2	16:61
يُؤَاخِذُهُم	يُوَ۬اخِذُهُم	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	18:58
تُؤَاخِذۡنِي	تُوَ۬اخِذْنِے	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	18:73
يُؤَلِّفُ	يُوَ۬لِّفُ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	24:43
لِّئَلَّا	لِّيَ۬لَّا	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	57:29
وَيُؤَخِّرۡكُمۡ	وَيُوَ۬خِّرْكُمُۥٓ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor, plus silat al-miem	1	71:4
يُؤَخَّرُۚ	يُوَ۬خَّرُ	geen-farsh	hamza-ibdaal: de hamza wordt de halfklinker van de klinker ervoor	1	71:4
